punto,lat,lon,year,month,daylight_hours,photoperiod_delta
Antártida_Centro,-65.0,-60.0,2001,1,24.0,
Antártida_Centro,-65.0,-60.0,2001,2,0.0,-24.0
Antártida_Centro,-65.0,-60.0,2001,3,12.8,12.8
Antártida_Centro,-65.0,-60.0,2001,4,9.32,-3.4800000000000004
Antártida_Centro,-65.0,-60.0,2001,5,6.04,-3.2800000000000002
Antártida_Centro,-65.0,-60.0,2001,6,3.63,-2.41
Antártida_Centro,-65.0,-60.0,2001,7,4.82,1.1900000000000004
Antártida_Centro,-65.0,-60.0,2001,8,8.03,3.209999999999999
Antártida_Centro,-65.0,-60.0,2001,9,11.44,3.41
Antártida_Centro,-65.0,-60.0,2001,10,14.82,3.380000000000001
Antártida_Centro,-65.0,-60.0,2001,11,0.0,-14.82
Antártida_Centro,-65.0,-60.0,2001,12,24.0,24.0
Antártida_Centro,-65.0,-60.0,2002,1,24.0,0.0
Antártida_Centro,-65.0,-60.0,2002,2,0.0,-24.0
Antártida_Centro,-65.0,-60.0,2002,3,12.83,12.83
Antártida_Centro,-65.0,-60.0,2002,4,9.35,-3.4800000000000004
Antártida_Centro,-65.0,-60.0,2002,5,6.07,-3.2799999999999994
Antártida_Centro,-65.0,-60.0,2002,6,3.63,-2.4400000000000004
Antártida_Centro,-65.0,-60.0,2002,7,4.8,1.17
Antártida_Centro,-65.0,-60.0,2002,8,8.0,3.2
Antártida_Centro,-65.0,-60.0,2002,9,11.41,3.41
Antártida_Centro,-65.0,-60.0,2002,10,14.79,3.379999999999999
Antártida_Centro,-65.0,-60.0,2002,11,0.0,-14.79
Antártida_Centro,-65.0,-60.0,2002,12,24.0,24.0
Antártida_Centro,-65.0,-60.0,2003,1,24.0,0.0
Antártida_Centro,-65.0,-60.0,2003,2,0.0,-24.0
Antártida_Centro,-65.0,-60.0,2003,3,12.86,12.86
Antártida_Centro,-65.0,-60.0,2003,4,9.38,-3.4799999999999986
Antártida_Centro,-65.0,-60.0,2003,5,6.09,-3.290000000000001
Antártida_Centro,-65.0,-60.0,2003,6,3.64,-2.4499999999999997
Antártida_Centro,-65.0,-60.0,2003,7,4.78,1.1400000000000001
Antártida_Centro,-65.0,-60.0,2003,8,7.98,3.2
Antártida_Centro,-65.0,-60.0,2003,9,11.38,3.4000000000000004
Antártida_Centro,-65.0,-60.0,2003,10,14.76,3.379999999999999
Antártida_Centro,-65.0,-60.0,2003,11,0.0,-14.76
Antártida_Centro,-65.0,-60.0,2003,12,24.0,24.0
Antártida_Centro,-65.0,-60.0,2004,1,24.0,0.0
Antártida_Centro,-65.0,-60.0,2004,2,0.0,-24.0
Antártida_Centro,-65.0,-60.0,2004,3,12.77,12.77
Antártida_Centro,-65.0,-60.0,2004,4,9.29,-3.4800000000000004
Antártida_Centro,-65.0,-60.0,2004,5,6.01,-3.2799999999999994
Antártida_Centro,-65.0,-60.0,2004,6,3.62,-2.3899999999999997
Antártida_Centro,-65.0,-60.0,2004,7,4.85,1.2299999999999995
Antártida_Centro,-65.0,-60.0,2004,8,8.06,3.210000000000001
Antártida_Centro,-65.0,-60.0,2004,9,11.47,3.41
Antártida_Centro,-65.0,-60.0,2004,10,14.85,3.379999999999999
Antártida_Centro,-65.0,-60.0,2004,11,0.0,-14.85
Antártida_Centro,-65.0,-60.0,2004,12,24.0,24.0
Antártida_Centro,-65.0,-60.0,2005,1,24.0,0.0
Antártida_Centro,-65.0,-60.0,2005,2,0.0,-24.0
Antártida_Centro,-65.0,-60.0,2005,3,12.8,12.8
Antártida_Centro,-65.0,-60.0,2005,4,9.32,-3.4800000000000004
Antártida_Centro,-65.0,-60.0,2005,5,6.04,-3.2800000000000002
