"STATION","RECORD_TYPE","NUMBER_OF_STATIONS","NUMBER_OF_NETS","LATITUDE","LONGITUDE","SEASON","DAYS_FROM_1ST_OCT","DATE","DATE_ACCURACY","NET_TIME","GMT_OR_LOCAL","DAY_NIGHT","DAY_NIGHT_METHOD","NET_TYPE","MOUTH_AREA_OF_NET_M2","TOP_SAMPLING_DEPTH_M","BOTTOM_SAMPLING_DEPTH_M","VOLUME_FILTERED_M3","N_OR_S_POLAR_FRONT","WATER_DEP_MEAN_WITHIN_10KM","WATER_DEPTH_RANGE_WITHIN_10KM","CLIMATOLOGICAL_TEMPERATURE","SD_OF_SURVEY_MEAN_KRILL","NUMBER_OF_KRILL_UNDER_1M2","STANDARDISED_KRILL_UNDER_1M2","CAVEATS","NUMBER_OF_SALPS_UNDER_1M2","SOURCE","presence","net_depth","date_clean","year","month","dist_talud","pendiente","profundidad","sst_local","ice_extent_mean","ice_extent_min","ice_extent_max","ice_anomaly","SAM_index","SAM_9m_rolling","SAM_12m_rolling","SAM_9m","climatology_chl","lat_round","daylight_hours_mean","prev_year_ice","ice_anomaly_prev","chl_final"
"aml2003feb0201","haul",1,1,-60,-54,2003,144,"21/02/2003","D","02:16","local","night",2,"Isaac Kidd",3.08,0,170,3501.69,"S",2986.075397,421,1.806348801,NA,1.019508306,1.391,"",NA,"US data (AMLR)",1,2.23299611039215,2003-02-21,2003,2,78.65918317706,2.51409434888209,-3034.5,2.43499994557351,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-60,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0202","haul",1,1,-60.2512,-53.994,2003,144,"21/02/2003","D","05:11","local","night",1,"Isaac Kidd",3.08,0,171,3540.79,"S",2747.00198,814,1.754991119,NA,0.04829428,0.066,"",NA,"US data (AMLR)",1,2.23552844690755,2003-02-21,2003,2,57.3547399957257,5.30343875995043,-2706.2598112,2.71499993931502,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-60,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0203","haul",1,1,-60.5008,-53.9921,2003,144,"21/02/2003","D","08:11","local","day",2,"Isaac Kidd",3.08,0,170,3773.39,"S",2914.765286,329,1.267147166,NA,0.135157139,0.416,"",NA,"US data (AMLR)",1,2.23299611039215,2003-02-21,2003,2,59.2539660251013,0.82555398934776,-2984.05843392001,2.19999995082617,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-61,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0204","haul",1,1,-60.7505,-53.9912,2003,144,"21/02/2003","D","11:24","local","day",2,"Isaac Kidd",3.08,0,169,4024.33,"S",1904.69505,2058,1.248415232,NA,0.251967534,0.775,"",NA,"US data (AMLR)",1,2.23044892137827,2003-02-21,2003,2,32.8658542096549,21.9592672611077,-1926.98455759999,1.6949999621138,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-61,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0205","haul",1,1,-61.0112,-53.9781,2003,144,"21/02/2003","D","14:19","local","day",2,"Isaac Kidd",3.08,0,170,3340.68,"S",953.2148594,1708,1.195982853,NA,9.719564085,29.899,"",NA,"US data (AMLR)",1,2.23299611039215,2003-02-21,2003,2,8.98529270637476,7.96970026839667,-1065.02994176,0.474999989382923,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-61,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0206","haul",1,1,-61.2523,-53.7558,2003,144,"21/02/2003","D","17:23","local","day",2,"Isaac Kidd",3.08,0,170,3197.43,"S",1162.291339,931,0.643136123,NA,0.05316772,0.164,"",NA,"US data (AMLR)",1,2.23299611039215,2003-02-21,2003,2,16.8637213788704,5.45255410634527,-1222.37991576,0.289999993517995,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-61,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0207","haul",1,1,-61.4997,-53.9853,2003,144,"21/02/2003","D","20:27","local","night",2,"Isaac Kidd",3.08,0,170,3661.71,"S",745.4015748,708,0.719545364,NA,0.139279052,0.19,"",NA,"US data (AMLR)",1,2.23299611039215,2003-02-21,2003,2,11.5647831885292,1.7672385631932,-743.394445239999,0.589999986812472,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-61,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0208","haul",1,1,-61.751,-53.9856,2003,144,"21/02/2003","D","23:22","local","night",2,"Isaac Kidd",3.08,0,172,3612.01,"S",341.3881188,175,0.555087725,NA,56.6189473,77.284,"",NA,"US data (AMLR)",1,2.2380461031288,2003-02-21,2003,2,14.6542110672605,0.490365186016891,-327.839411199998,-0.0599999986588955,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-62,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0209","haul",1,1,-62.0034,-53.995,2003,144,"21/02/2003","D","02:22","local","night",2,"Isaac Kidd",3.08,0,170,4454.47,"S",560.5355731,231,0.436528947,NA,2.747800413,3.748,"",NA,"US data (AMLR)",1,2.23299611039215,2003-02-21,2003,2,4.74920970159945,2.99419449565343,-555.133388,0.549999987706542,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-62,NA,2002,-0.318770283975659,0.414648342345442
"aml2003feb0302","haul",1,1,-60.25,-54.5,2003,143,"20/02/2003","D","22:27","local","night",2,"Isaac Kidd",3.08,0,170,4078.62,"S",3037.897436,354,1.603243351,NA,32.96946538,44.434,"",NA,"US data (AMLR)",1,2.23299611039215,2003-02-20,2003,2,83.307944156302,1.12900554598672,-3034,2.68499993998557,3.78857142857143,3.626,4.186,0.509408287452912,-0.3569,-0.687844444444444,-0.8873,-0.687844444444444,0.414648342345442,-60,NA,2002,-0.318770283975659,0.414648342345442
