year,month,SAM_index,SAM_9m_rolling,SAM_12m_rolling
2000,1,1.2734,,
2000,2,0.6197,,
2000,3,0.1331,,
2000,4,0.2327,,
2000,5,1.1271,,
2000,6,0.1172,0.5838666666666666,
2000,7,0.0586,0.5088285714285715,
2000,8,-0.6735,0.3610375,
2000,9,-1.8529,0.11504444444444445,0.11504444444444445
2000,10,0.347,0.012111111111111109,0.13824
2000,11,-1.5371,-0.22753333333333334,-0.01406363636363635
2000,12,-1.2903,-0.3856888888888889,-0.12041666666666666
2001,1,-0.4709,-0.4638666666666667,-0.265775
2001,2,-0.2649,-0.6185333333333333,-0.3394916666666667
2001,3,-0.5548,-0.6931999999999999,-0.3968166666666666
2001,4,0.515,-0.6424888888888889,-0.37329166666666663
2001,5,-0.2622,-0.5967888888888888,-0.4890666666666667
2001,6,0.3861,-0.34801111111111105,-0.46665833333333334
2001,7,-0.9283,-0.4897111111111111,-0.5489
2001,8,0.9103,-0.21777777777777774,-0.4169166666666666
2001,9,1.1614,0.05463333333333336,-0.16572499999999998
2001,10,1.2771,0.24885555555555555,-0.08821666666666668
2001,11,0.9958,0.38893333333333335,0.12285833333333333
2001,12,1.4736,0.6143111111111111,0.35318333333333335
2002,1,0.7469,0.6400777777777777,0.4546666666666667
2002,2,1.3341,0.8174444444444444,0.5879166666666666
2002,3,-1.8235,0.5719333333333334,0.48219166666666674
2002,4,0.165,0.6934111111111112,0.453025
2002,5,-2.7985,0.28132222222222225,0.2416666666666666
2002,6,-1.112,0.02872222222222219,0.11682499999999996
2002,7,-0.5909,-0.17883333333333334,0.14494166666666664
2002,8,-0.0994,-0.30052222222222225,0.06079999999999997
2002,9,-0.8645,-0.5603111111111111,-0.10802500000000004
2002,10,-2.564,-0.9281888888888888,-0.4281166666666667
2002,11,-0.9235,-1.1790333333333334,-0.5880583333333333
2002,12,1.3085,-0.8310333333333334,-0.6018166666666668
2003,1,-0.9879,-0.9591333333333334,-0.7463833333333335
2003,2,-0.3569,-0.6878444444444445,-0.8873000000000001
2003,3,-0.1877,-0.5851444444444445,-0.7509833333333334
2003,4,0.2243,-0.4945666666666667,-0.7460416666666667
2003,5,0.3845,-0.4408,-0.48079166666666673
2003,6,-0.7745,-0.4308,-0.4526666666666667
2003,7,0.727,-0.06513333333333332,-0.3428416666666667
2003,8,0.678,0.11281111111111113,-0.27805833333333335
2003,9,-0.3231,-0.06847777777777776,-0.23294166666666669
2003,10,-0.0249,0.038522222222222235,-0.02134999999999999
2003,11,-0.7117,-0.0008999999999999872,-0.00369999999999999
2003,12,-1.3229,-0.1270333333333333,-0.2229833333333333
