year,month,ice_extent_mean,ice_extent_min,ice_extent_max,ice_anomaly
2000,1,4.748870967741936,3.444,6.923,-0.564576850094876
2000,2,2.9065172413793103,2.582,3.423,-0.37264589973920614
2000,3,4.085870967741935,2.984,5.252,-0.21470018975332117
2000,4,7.1323,5.349,8.838,-0.05449803921568641
2000,5,10.92058064516129,8.963,12.542,0.40396584440227734
2000,6,13.8927,12.582,15.002,0.17545882352941256
2000,7,16.09774193548387,15.127,17.275,-0.15919544592030377
2000,8,18.206129032258065,17.29,18.491,0.23818406072106413
2000,9,18.887833333333333,18.579,19.159,0.15150784313725296
2000,10,18.13051612903226,17.276,18.962,-0.20695635673624224
2000,11,15.757633333333333,13.552,17.256,-0.2295509803921565
2000,12,9.909709677419356,6.825,13.355,-0.7479108159392798
2001,1,5.233096774193548,4.215,6.678,-0.08035104364326351
2001,2,3.6503571428571426,3.441,4.137,0.37119400173862616
2001,3,4.731451612903226,3.781,5.651,0.43088045540796927
2001,4,7.044266666666667,5.726,8.58,-0.14253137254901915
2001,5,10.32990322580645,8.759,11.768,-0.18671157495256274
2001,6,13.418066666666668,11.905,14.716,-0.2991745098039189
2001,7,15.851870967741936,14.821,16.907,-0.4050664136622384
2001,8,17.42274193548387,16.905,17.698,-0.545203036053131
2001,9,18.174966666666666,17.596,18.494,-0.5613588235294138
2001,10,17.726,17.04,18.317,-0.6114724857685019
2001,11,15.6103,13.87,16.924,-0.3768843137254887
2001,12,10.345903225806452,7.231,13.657,-0.3117172675521829
2002,1,4.739612903225806,3.422,6.956,-0.5738349146110053
2002,2,2.9603928571428573,2.697,3.4,-0.3187702839756592
2002,3,3.7482580645161288,3.016,4.579,-0.5523130929791278
2002,4,6.327833333333333,4.612,8.245,-0.8589647058823529
2002,5,9.511548387096774,8.34,10.751,-1.0050664136622398
2002,6,12.375766666666667,10.828,13.977,-1.3414745098039198
2002,7,15.414709677419355,14.061,16.425,-0.84222770398482
2002,8,17.06667741935484,16.45,17.89,-0.901267552182162
2002,9,17.887366666666665,17.721,18.116,-0.848958823529415
2002,10,17.865774193548386,17.38,18.073,-0.4716982922201147
2002,11,15.405833333333334,13.453,17.31,-0.5813509803921555
2002,12,10.78541935483871,7.708,13.296,0.12779886148007513
2003,1,5.772709677419355,4.288,7.496,0.4592618595825435
2003,2,3.7885714285714287,3.626,4.186,0.5094082874529122
2003,3,4.444354838709677,3.643,5.548,0.14378368121442087
2003,4,7.208266666666666,5.616,8.912,0.02146862745097966
2003,5,10.735806451612904,9.015,12.65,0.21919165085389025
2003,6,13.985366666666666,12.721,15.252,0.2681254901960788
2003,7,16.401967741935483,15.333,17.329,0.14503036053130813
2003,8,17.582483870967742,17.271,17.969,-0.385461100569259
2003,9,18.298299999999998,17.905,18.68,-0.4380254901960825
2003,10,18.198,17.852,18.591,-0.13947248576850058
2003,11,16.109533333333335,14.152,17.726,0.12234901960784583
2003,12,10.56358064516129,7.488,14.065,-0.09403984819734568
2004,1,5.590516129032259,4.191,7.374,0.27706831119544706
2004,2,3.583551724137931,3.259,4.088,0.3043885830194144
2004,3,4.526193548387097,3.604,5.603,0.22562239089184022
2004,4,7.279766666666666,5.748,8.823,0.09296862745098
2004,5,10.470032258064515,8.901,12.122,-0.04658254269449813
2004,6,13.78,12.262,15.156,0.06275882352941231
2004,7,16.332516129032257,15.197,17.419,0.07557874762808225
2004,8,18.01006451612903,17.414,18.73,0.04211954459202971
2004,9,18.919233333333334,18.782,19.124,0.1829078431372544
2004,10,18.456935483870968,17.854,18.929,0.11946299810246686
2004,11,16.084833333333332,13.844,17.676,0.097649019607843
